trace_coda_end_sample,source_depth_km,source_latitude_deg,source_longitude_deg,source_magnitude,source_origin_time,trace_p_arrival_sample,trace_p_arrival_time,trace_p_arrival_uncertainty_s,trace_s_arrival_sample,trace_s_arrival_time,trace_s_arrival_uncertainty_s,trace_snr_db,station_elevation_m,station_latitude_deg,station_longitude_deg,station_code,trace_category,trace_name_original,split,trace_name,trace_causal,trace_polarity,ID_poligono
1530.0,5.643115234,31.24476902,-103.5535383,1.413654455,2019-04-02T03:34:48.725819Z,1034.0,2019-04-02T03:34:52.621560Z,0.200000003,1282.0,2019-04-02T03:34:55.099410Z,0.200000003,[ 9.24793056 19.63008866 18.35619636],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019gknw_PCOS_EV,train,"bucket268$338,:3,:6000",unknown,unknown,3
646.0,3.072314453,31.44514869,-103.5868182,1.343137624,2019-04-02T15:44:47.758892Z,398.0,2019-04-02T15:44:49.774274Z,0.200000003,522.0,2019-04-02T15:44:51.016393Z,0.3000000119,[ 9.39674043 16.37144101 11.71157312],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019glly_PCOS_EV,train,"bucket268$343,:3,:6000",unknown,unknown,4
1357.0,6.157275391,31.27418246,-103.572833,1.532321963,2019-04-03T00:19:32.460730Z,863.0,2019-04-03T00:19:35.861650Z,0.3000000119,1110.0,2019-04-03T00:19:38.339118Z,0.3000000119,[ 7.60673611 15.02572183 13.33977714],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019gmcy_PCOS_EV,test,"bucket267$962,:3,:6000",unknown,unknown,3
1602.0,5.5402832029999995,31.25396103,-103.5599685,2.021868266,2019-04-03T02:49:31.391207Z,962.0,2019-04-03T02:49:34.487029Z,0.3000000119,1282.0,2019-04-03T02:49:37.686581Z,0.3000000119,[13.09247931 26.55624019 23.90611973],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019gmhw_PCOS_EV,train,"bucket268$388,:3,:6000",unknown,unknown,3
959.0,6.131567382999999,31.25005444,-103.5564853,1.866408072,2019-04-03T04:07:27.403390Z,427.0,2019-04-03T04:07:31.281541Z,0.200000003,693.0,2019-04-03T04:07:33.938372Z,0.200000003,[12.65829611 18.01577239 14.49738869],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019gmkl_PCOS_EV,train,"bucket268$401,:3,:6000",unknown,unknown,3
1021.0,5.643115234,31.25671771,-103.5449627,1.864792453,2019-04-03T04:49:40.161684Z,435.0,2019-04-03T04:49:43.337664Z,0.400000006,728.0,2019-04-03T04:49:46.262930Z,0.3000000119,[ 9.00423447 25.76658651 23.66842516],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019gmlv_PCOS_EV,train,"bucket268$412,:3,:6000",unknown,unknown,3
1405.0,5.745947266,31.25396103,-103.5599685,1.40537887,2019-04-03T05:06:24.699035Z,825.0,2019-04-03T05:06:28.181712Z,0.400000006,1115.0,2019-04-03T05:06:31.081122Z,0.200000003,[ 4.3683982  12.73712529 14.81080424],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019gmmk_PCOS_EV,train,"bucket268$418,:3,:6000",unknown,unknown,3
747.0,2.943774414,31.40631004,-103.5210524,1.636805152,2019-04-03T07:05:54.237476Z,611.0,2019-04-03T07:05:55.123389Z,0.1000000015,679.0,2019-04-03T07:05:55.800130Z,0.200000003,[31.41435142 46.0059175  45.00237869],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019gmqi_PCOS_EV,train,"bucket268$424,:3,:6000",unknown,D,4
960.0,5.797363281,31.29668991,-103.6184087,2.109441296,2019-04-03T21:30:03.889751Z,414.0,2019-04-03T21:30:07.163288Z,0.200000003,687.0,2019-04-03T21:30:09.898489Z,0.200000003,[19.42690407 27.03283809 25.8131302 ],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019gnsv_PCOS_EV,test,"bucket267$998,:3,:6000",unknown,unknown,3
1147.0,5.3603271480000005,31.3777959,-103.4792086,1.944866474,2019-04-04T17:08:35.427523Z,899.0,2019-04-04T17:08:36.990751Z,0.1000000015,1023.0,2019-04-04T17:08:38.232018Z,0.1000000015,[14.65380553 32.10384245 27.65995278],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019gpfs_PCOS_EV,train,"bucket268$484,:3,:6000",unknown,U,4
